Seq_ID,full_seq_id,taxonomy,vertebrate,blood_type,species,class,order,family,prot_specificity,other,most_abundant_prot_specificity,most_abundant_class,most_abundant_family
4139558,gi|4139558|pdb|3TGI|E__vertebrate|warm|Rattus norvegicus|Mammalia|Rodentia|Muridae|trypsin|,vertebrate|warm|Rattus norvegicus|Mammalia|Rodentia|Muridae|trypsin|,vertebrate,warm,Rattus norvegicus,Mammalia,Rodentia,Muridae,trypsin,,trypsin,Mammalia,Muridae
7546312,gi|7546312|pdb|1QNJ|A__vertebrate|warm|Sus scrofa|Mammalia|Laurasiatheria|Suidae|elastase|,vertebrate|warm|Sus scrofa|Mammalia|Laurasiatheria|Suidae|elastase|,vertebrate,warm,Sus scrofa,Mammalia,Laurasiatheria,Suidae,elastase,,Other,Mammalia,Suidae
230004,gi|230004|pdb|1HNE|E__vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|elastase|,vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|elastase|,vertebrate,warm,Homo sapiens,Mammalia,Primates,Hominidae,elastase,,Other,Mammalia,Hominidae
4139720,gi|4139720|pdb|1KLT__vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|chymase|,vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|chymase|,vertebrate,warm,Homo sapiens,Mammalia,Primates,Hominidae,chymase,,Other,Mammalia,Hominidae
10835843,gi|10835843|pdb|1FI8|B__vertebrate|warm|Rattus norvegicus|Mammalia|Rodentia|Muridae|granzyme|b,vertebrate|warm|Rattus norvegicus|Mammalia|Rodentia|Muridae|granzyme|b,vertebrate,warm,Rattus norvegicus,Mammalia,Rodentia,Muridae,granzyme,b,granzyme,Mammalia,Muridae
14278517,gi|14278517|pdb|1EUF|A__vertebrate|warm|Bos taurus|Mammalia|Ruminantia|Bovidae|duodenase|,vertebrate|warm|Bos taurus|Mammalia|Ruminantia|Bovidae|duodenase|,vertebrate,warm,Bos taurus,Mammalia,Ruminantia,Bovidae,duodenase,,Other,Mammalia,Bovidae
83753983,gi|83753983|pdb|2AFQ|B__vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|thrombin|,vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|thrombin|,vertebrate,warm,Homo sapiens,Mammalia,Primates,Hominidae,thrombin,,Other,Mammalia,Hominidae
2392230,gi|2392230|pdb|1CGH|A__vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|cathepsin|,vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|cathepsin|,vertebrate,warm,Homo sapiens,Mammalia,Primates,Hominidae,cathepsin,,Other,Mammalia,Hominidae
13096242,gi|13096242|pdb|1FQ3|A__vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|granzyme|b,vertebrate|warm|Homo sapiens|Mammalia|Primates|Hominidae|granzyme|b,vertebrate,warm,Homo sapiens,Mammalia,Primates,Hominidae,granzyme,b,granzyme,Mammalia,Hominidae
230920,gi|230920|pdb|3RP2|B__vertebrate|warm|Rattus rattus|Mammalia|Rodentia|Muridae|mcp|,vertebrate|warm|Rattus rattus|Mammalia|Rodentia|Muridae|mcp|,vertebrate,warm,Rattus rattus,Mammalia,Rodentia,Muridae,mcp,,Other,Mammalia,Muridae
