From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A015KXI1	A0A015KXI1		A0A015KXI1_9BACL	deleted			
A0A077J3V0	A0A077J3V0		A0A077J3V0_9BACI	deleted			
A0A085DTZ6	A0A085DTZ6		A0A085DTZ6_9GAMM	deleted			
A0A085L127	A0A085L127		A0A085L127_9FLAO	deleted			
A0A090IJY3	A0A090IJY3		A0A090IJY3_9GAMM	deleted			
A0A090IMM2	A0A090IMM2		A0A090IMM2_9GAMM	deleted			
A0A090P3Z6	A0A090P3Z6		A0A090P3Z6_9VIBR	deleted			
A0A090S340	A0A090S340		A0A090S340_9VIBR	deleted			
A0A090SHG9	A0A090SHG9		A0A090SHG9_9VIBR	deleted			
A0A095XM74	A0A095XM74		A0A095XM74_9FIRM	deleted			
A0A0B0I203	A0A0B0I203		A0A0B0I203_9BACL	deleted			
A0A0B8YFH5	A0A0B8YFH5		A0A0B8YFH5_9SPHI	deleted			
A0A0C1YV17	A0A0C1YV17		A0A0C1YV17_9CYAN	deleted			
A0A0C2URW1	A0A0C2URW1		A0A0C2URW1_9BACL	deleted			
A0A0C2V4Z5	A0A0C2V4Z5		A0A0C2V4Z5_9BACL	deleted			
A0A0D8CYY4	A0A0D8CYY4		A0A0D8CYY4_9GAMM	deleted			
A0A0G3CH79	A0A0G3CH79		A0A0G3CH79_9GAMM	deleted			
A0A0H1SEH9	A0A0H1SEH9		A0A0H1SEH9_9MOLU	deleted			
A0A0H4P3I5	A0A0H4P3I5		A0A0H4P3I5_9BACI	deleted			
A0A0J7LV68	A0A0J7LV68		A0A0J7LV68_9BURK	deleted			
A0A0K2D913	A0A0K2D913		A0A0K2D913_9HYPH	deleted			
A0A0K2DTG0	A0A0K2DTG0		A0A0K2DTG0_PISSA	deleted			
A0A0K9RIF4	A0A0K9RIF4		A0A0K9RIF4_SPIOL	deleted			
A0A0L8F2A2	A0A0L8F2A2		A0A0L8F2A2_9CLOT	deleted			
A0A0M3CAG4	A0A0M3CAG4		A0A0M3CAG4_9SPHI	deleted			
A0A0N1A543	A0A0N1A543		A0A0N1A543_9HYPH	deleted			
A0A0P7HX58	A0A0P7HX58		A0A0P7HX58_9MOLU	deleted			
A0A0Q3WBK0	A0A0Q3WBK0		A0A0Q3WBK0_9BACI	deleted			
A0A0R2BVZ8	A0A0R2BVZ8		A0A0R2BVZ8_9LACO	deleted			
A0A0U4H285	A0A0U4H285		A0A0U4H285_9MICO	deleted			
A0A133ZU31	A0A133ZU31		A0A133ZU31_9BACL	deleted			
A0A147EJQ6	A0A147EJQ6		A0A147EJQ6_9SPHN	deleted			
A0A166ID26	A0A166ID26		A0A166ID26_DAUCS	deleted			
A0A172X3B7	A0A172X3B7		A0A172X3B7_9MICO	deleted			
