From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	EC number	Active site	Binding site	Catalytic activity	Gene Ontology (GO)	3D	Protein families	RefSeq	AlphaFoldDB	PDB	Pfam
P0ABQ4	P0ABQ4	reviewed	DYR_ECOLI	Dihydrofolate reductase (EC 1.5.1.3)	folA tmrA b0048 JW0047	Escherichia coli (strain K12)	159	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	1.5.1.3		BINDING 5; /ligand="substrate"; /evidence="ECO:0000305|PubMed:9012674"; BINDING 7; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000269|PubMed:19374017"; BINDING 13..19; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000269|PubMed:19374017"; BINDING 27; /ligand="substrate"; /evidence="ECO:0000305|PubMed:9012674"; BINDING 45..46; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000269|PubMed:19374017"; BINDING 52; /ligand="substrate"; /evidence="ECO:0000305|PubMed:9012674"; BINDING 57; /ligand="substrate"; /evidence="ECO:0000305|PubMed:9012674"; BINDING 63..64; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000269|PubMed:19374017"; BINDING 76; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000269|PubMed:19374017"; BINDING 95..102; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000269|PubMed:19374017"; BINDING 113; /ligand="substrate"; /evidence="ECO:0000305|PubMed:9012674"	CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000255|PROSITE-ProRule:PRU00660, ECO:0000269|PubMed:16510443};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; dihydrofolic acid binding [GO:0051871]; folic acid binding [GO:0005542]; methotrexate binding [GO:0051870]; NADP binding [GO:0050661]; NADP+ binding [GO:0070401]; NADPH binding [GO:0070402]; 10-formyltetrahydrofolate biosynthetic process [GO:0009257]; dihydrofolate metabolic process [GO:0046452]; folic acid biosynthetic process [GO:0046656]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; response to antibiotic [GO:0046677]; response to methotrexate [GO:0031427]; response to xenobiotic stimulus [GO:0009410]; tetrahydrofolate biosynthetic process [GO:0046654]	Electron microscopy (1); Neutron diffraction (1); X-ray crystallography (149)	Dihydrofolate reductase family	NP_414590.1;WP_000624375.1;	P0ABQ4;	1DDR;1DDS;1DHI;1DHJ;1DRA;1DRB;1DRE;1DRH;1DYH;1DYI;1DYJ;1JOL;1JOM;1RA1;1RA2;1RA3;1RA8;1RA9;1RB2;1RB3;1RC4;1RD7;1RE7;1RF7;1RG7;1RH3;1RX1;1RX2;1RX3;1RX4;1RX5;1RX6;1RX7;1RX8;1RX9;1TDR;2ANO;2ANQ;2D0K;2DRC;2INQ;3DAU;3DRC;3K74;3KFY;3OCH;3QL3;3QYL;3QYO;3R33;4DFR;4EIG;4EIZ;4EJ1;4FHB;4GH8;4I13;4I1N;4KJJ;4KJK;4KJL;4NX6;4NX7;4PDJ;4X5F;4X5G;4X5H;4X5I;4X5J;5CC9;5CCC;5DFR;5E8Q;5EAJ;5SSS;5SST;5SSU;5SSV;5SSW;5UIH;5UII;5UIO;5UIP;5UJX;5W3Q;5Z6F;5Z6J;5Z6K;5Z6L;5Z6M;6CQA;6CW7;6CXK;6CYV;6DFR;6MR9;6MT8;6MTH;6RUL;6RUM;6XG4;6XG5;7D3Z;7D49;7D4L;7D4X;7D6G;7DFR;7F3B;7FPL;7FPM;7FPN;7FPO;7FPP;7FPQ;7FPR;7FPS;7FPT;7FPU;7FPV;7FPW;7FPX;7FPY;7FPZ;7FQ0;7FQ1;7FQ2;7FQ3;7FQ4;7FQ5;7FQ6;7FQ7;7FQ8;7FQ9;7FQA;7FQB;7FQC;7FQD;7FQE;7FQF;7FQG;7LVC;7MQP;7MYM;7NAE;7REB;8DAI;8G4Z;8G50;8HCO;8UCX;8UW0;8VZ4;	PF00186;
A0A2J8ADC8	A0A2J8ADC8	unreviewed	A0A2J8ADC8_9CHLO	Bifunctional dihydrofolate reductase-thymidylate synthase 2	TSOC_002744	Tetrabaena socialis	1370	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Chlorophyceae (class), CS clade (clade), Chlamydomonadales (order), Tetrabaenaceae (family), Tetrabaena (genus)					cytosol [GO:0005829]; mitochondrion [GO:0005739]; dihydrofolate reductase activity [GO:0004146]; thymidylate synthase activity [GO:0004799]; dTMP biosynthetic process [GO:0006231]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]						PF00186;PF00303;
A0A2U1P121	A0A2U1P121	unreviewed	A0A2U1P121_ARTAN	dihydrofolate reductase (EC 1.5.1.3)	CTI12_AA206200	Artemisia annua (Sweet wormwood)	1009	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), campanulids (clade), Asterales (order), Asteraceae (family), Asteroideae (subfamily), Anthemideae (tribe), Artemisiinae (subtribe), Artemisia (genus)	1.5.1.3				mitochondrion [GO:0005739]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]				A0A2U1P121;		PF00650;PF00186;
A0A5J5HQB4	A0A5J5HQB4	unreviewed	A0A5J5HQB4_9BACI	Dihydrofolate reductase (EC 1.5.1.3)	folA F4V44_17040	Niallia endozanthoxylica	161	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Niallia (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A5J5HQB4;		PF00186;
I3E9M4	I3E9M4	unreviewed	I3E9M4_BACMM	Dihydrofolate reductase (EC 1.5.1.3)	dfrA BMMGA3_10240	Bacillus methanolicus (strain MGA3 / ATCC 53907)	161	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), Bacillus methanolicus (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_004435037.1;	I3E9M4;		PF00186;
A0A2N5H3Y0	A0A2N5H3Y0	unreviewed	A0A2N5H3Y0_9BACI	Dihydrofolate reductase (EC 1.5.1.3)	CVD19_04510	Bacillus sp. T33-2	161	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), unclassified Bacillus (in: firmicutes) (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A2N5H3Y0;		PF00186;
A0A371SGQ9	A0A371SGQ9	unreviewed	A0A371SGQ9_9BACI	Dihydrofolate reductase (EC 1.5.1.3)	DZB84_10770	Bacillus sp. HNG	164	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), unclassified Bacillus (in: firmicutes) (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A371SGQ9;		PF00186;
A0A268IJ79	A0A268IJ79		A0A268IJ79_9BACI	deleted															
A0A1X7F515	A0A1X7F515	unreviewed	A0A1X7F515_9BACI	Dihydrofolate reductase (EC 1.5.1.3)	BEH_06125	Priestia filamentosa	161	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Priestia (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_046216797.1;	A0A1X7F515;		PF00186;
A0A0M4GP04	A0A0M4GP04	unreviewed	A0A0M4GP04_9BACI	Dihydrofolate reductase (EC 1.5.1.3)	AM500_10650	Bacillus sp. FJAT-18017	166	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), unclassified Bacillus (in: firmicutes) (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_053599181.1;	A0A0M4GP04;		PF00186;
