Seq_ID,Protein_names,Protein_families,superkingdom,kingdom,phylum,class,order,family,genus,species,Uniprot_Entry,Gene_Names,Organism,Length,EC_number,RefSeq,AlphaFoldDB,PDB
C7N0Y4_SLAHD,Uncharacterized membrane protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,Slackiaheliotrinireducens,C7N0Y4,Shel_21960,Slackiaheliotrinireducens(strainATCC29202/DSM20476/NCTC11029/RHS1)(Peptococcusheliotrinreducens),267,,WP_012799306.1;,C7N0Y4;,
F8DCV9_HALXS,Rhomboid family protein,,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Halopiger,Halopigerxanaduensis,F8DCV9,Halxa_3822,Halopigerxanaduensis(strainDSM18323/JCM14033/SH-6),233,,WP_013881314.1;,F8DCV9;,
C7P1C2_HALMD,Rhomboid family protein,,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobiummukohataei,C7P1C2,Hmuk_1002,Halomicrobiummukohataei(strainATCC700874/DSM12286/JCM9738/NCIMB13541)(Haloarculamukohataei),200,,,C7P1C2;,
A0A087SLN7_AUXPR,Rhomboid protease GluP,Peptidase S54 family,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Auxenochlorella,,A0A087SLN7,F751_2228,Auxenochlorellaprotothecoides(Greenmicroalga)(Chlorellaprotothecoides),216,,XP_011399579.1;,A0A087SLN7;,
A0A0G0YMT9_9BACT,,,,,,,,,,,A0A0G0YMT9,,,,,,,
A9BNP8_DELAS,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftiaacidovorans,A9BNP8,Daci_5314,Delftiaacidovorans(strainDSM14801/SPH-1),496,,WP_012207112.1;,A9BNP8;,
D5BYL1_NITHN,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcushalophilus,D5BYL1,Nhal_2937,Nitrosococcushalophilus(strainNc4),227,,WP_013033850.1;,D5BYL1;,
D2REN6_ARCPA,Rhomboid family protein,Peptidase S54 family,Archaea,Methanobacteriati,Methanobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobusprofundus,D2REN6,Arcpr_1534,Archaeoglobusprofundus(strainDSM5631/JCM9629/NBRC100127/Av18),225,,WP_012940916.1;,D2REN6;,
H7F4I5_9LIST,,,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria fleischmanii subsp. Coloradonensis,H7F4I5,,,,,,,
D2Q6Y1_BIFDB,Rhomboid family protein (EC 3.4.21.105),Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacteriumdentium,D2Q6Y1,BDP_0032,Bifidobacteriumdentium(strainATCC27534/DSM20436/JCM1195/Bd1),260,3.4.21.105,WP_003838065.1;,D2Q6Y1;,
