From	Uniprot_Entry	Reviewed	Seq_ID	Protein_names	Gene_Names	Organism	Length	Taxonomic_lineage	Active_site	Binding_site	EC_number	Function	Protein_families	RefSeq	AlphaFoldDB	PDB	EMDB
C7N0Y4	C7N0Y4	unreviewed	C7N0Y4_SLAHD	Uncharacterized membrane protein	Shel_21960	Slackia heliotrinireducens (strain ATCC 29202 / DSM 20476 / NCTC 11029 / RHS 1) (Peptococcus heliotrinreducens)	267	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Coriobacteriia (class), Eggerthellales (order), Eggerthellaceae (family), Slackia (genus), Slackia heliotrinireducens (species)					Peptidase S54 family	WP_012799306.1;	C7N0Y4;		
F8DCV9	F8DCV9	unreviewed	F8DCV9_HALXS	Rhomboid family protein	Halxa_3822	Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6)	233	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Natrialbaceae (family), Halopiger (genus), Halopiger xanaduensis (species)						WP_013881314.1;	F8DCV9;		
C7P1C2	C7P1C2	unreviewed	C7P1C2_HALMD	Rhomboid family protein	Hmuk_1002	Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541) (Haloarcula mukohataei)	200	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Halomicrobium (genus), Halomicrobium mukohataei (species)							C7P1C2;		
A0A087SLN7	A0A087SLN7	unreviewed	A0A087SLN7_AUXPR	Rhomboid protease GluP	F751_2228	Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)	216	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Chlorophyta (phylum), core chlorophytes (clade), Trebouxiophyceae (class), Chlorellales (order), Chlorellaceae (family), Auxenochlorella (genus)					Peptidase S54 family	XP_011399579.1;	A0A087SLN7;		
A0A0G0YMT9	A0A0G0YMT9		A0A0G0YMT9_9BACT														
A9BNP8	A9BNP8	unreviewed	A9BNP8_DELAS	Rhomboid family protein	Daci_5314	Delftia acidovorans (strain DSM 14801 / SPH-1)	496	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Comamonadaceae (family), Delftia (genus), Delftia acidovorans (species)					Peptidase S54 family	WP_012207112.1;	A9BNP8;		
D5BYL1	D5BYL1	unreviewed	D5BYL1_NITHN	Rhomboid family protein	Nhal_2937	Nitrosococcus halophilus (strain Nc4)	227	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Chromatiaceae (family), Nitrosococcus (genus), Nitrosococcus halophilus (species)					Peptidase S54 family	WP_013033850.1;	D5BYL1;		
D2REN6	D2REN6	unreviewed	D2REN6_ARCPA	Rhomboid family protein	Arcpr_1534	Archaeoglobus profundus (strain DSM 5631 / JCM 9629 / NBRC 100127 / Av18)	225	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus profundus (species)					Peptidase S54 family	WP_012940916.1;	D2REN6;		
H7F4I5	H7F4I5		H7F4I5_9LIST														
D2Q6Y1	D2Q6Y1	unreviewed	D2Q6Y1_BIFDB	Rhomboid family protein (EC 3.4.21.105)	BDP_0032	Bifidobacterium dentium (strain ATCC 27534 / DSM 20436 / JCM 1195 / Bd1)	260	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Bifidobacteriales (order), Bifidobacteriaceae (family), Bifidobacterium (genus), Bifidobacterium dentium (species)			3.4.21.105		Peptidase S54 family	WP_003838065.1;	D2Q6Y1;		
